index,id,title,published_at,part,tags,status,source_len,old_len,old_ratio,old_keyword_recall,new_len,new_ratio,new_keyword_recall,file,source_url
1,f031f5fe-bf82-447b-9cad-406dc05d24e8,存款利率跌破1%：债务出清前，不亏即是赢,2026-04-23,第一部 宏观周期与政策框架,宏观经济 / 低利率 / 债务出清 / 资产配置 / 风险偏好,passed,989,985,0.996,0.493,985,0.996,0.493,exports/fupeng_reviewed_book/articles/001-存款利率跌破1%：债务出清前，不亏即是赢.md,https://www.douyin.com/video/7631480712989920521
2,69ab9c55-777d-4667-bd00-cd9c4fd13df3,居民收入大幅增长前，货币政策将持续失灵,2026-04-22,第七部 个体选择、职业与生活财务,个人财务 / 货币政策 / 债务化解 / 居民收入 / 投资策略 / 低利率,passed,868,973,1.121,0.104,973,1.121,0.104,exports/fupeng_reviewed_book/articles/002-居民收入大幅增长前，货币政策将持续失灵.md,https://www.douyin.com/video/7631415169998015796
3,39063e71-7816-4cb6-aaf4-177a82513109,存款利率跌破1%，本质是全民债务置换,2026-04-21,第二部 债务、杠杆与资产负债表,债务周期 / 债务置换 / 净息差 / 地方债 / 存量房贷 / 低利率,rebuilt,1246,1247,1.001,0.768,1160,0.931,0.377,exports/fupeng_reviewed_book/articles/003-存款利率跌破1%，本质是全民债务置换.md,https://www.douyin.com/video/7631159076256271650
4,30f2108b-91c3-46d6-89a5-8df2354abcbf,26年过得舒服的关键：降杠杆、加现金流、守资产,2026-04-20,第二部 债务、杠杆与资产负债表,债务周期 / 资产负债表管理 / 现金流规划 / 个人财务健康 / 资产负债表,passed,899,935,1.04,0.227,935,1.04,0.227,exports/fupeng_reviewed_book/articles/004-26年过得舒服的关键：降杠杆、加现金流、守资产.md,https://www.douyin.com/video/7630740351514365234
5,29c82661-9d6e-444b-be0a-bc5c5f90b9ab,90%报废动力电池流入黑作坊的环保危机,2026-04-19,第五部 产业变迁与商业逻辑,产业经济 / 动力电池回收 / 环保监管 / 新能源汽车产业链 / 黑色产业链 / 新能源汽车,rebuilt,1136,1118,0.984,0.623,786,0.692,0.348,exports/fupeng_reviewed_book/articles/005-90%报废动力电池流入黑作坊的环保危机.md,https://www.douyin.com/video/7630380606605643043
6,307da338-23fd-457a-8ae9-792b039e7f86,医生年薪制按职称定薪损害医疗效率,2026-04-18,第七部 个体选择、职业与生活财务,个人财务 / 医疗卫生改革 / 医生薪酬制度 / 职称评定 / 医疗效率,rebuilt,2107,2099,0.996,0.903,1921,0.912,0.542,exports/fupeng_reviewed_book/articles/006-医生年薪制按职称定薪损害医疗效率.md,https://www.douyin.com/video/7630056794701827328
7,4709f90a-a427-4b5c-9c75-ed91a4c9b511,通胀对普通人意味着能挣到钱,2026-04-15,第一部 宏观周期与政策框架,宏观经济 / 个人理财 / 劳动收入 / 通胀认知,passed,897,842,0.939,0.182,842,0.939,0.182,exports/fupeng_reviewed_book/articles/007-通胀对普通人意味着能挣到钱.md,https://www.douyin.com/video/7628963180387093798
8,80782fbb-a7de-4b70-b787-a1d865b5135d,杀死音乐的不是盗版，是平台垄断,2026-04-13,第五部 产业变迁与商业逻辑,产业经济 / 音乐产业 / 平台经济 / 算法推荐 / 文化生产 / AI,passed,1218,1089,0.894,0.523,1089,0.894,0.523,exports/fupeng_reviewed_book/articles/008-杀死音乐的不是盗版，是平台垄断.md,https://www.douyin.com/video/7628224859708935434
9,179fd2f4-a3d6-4469-963e-46e942a1ab87,中国能源缓冲垫有效但时效有限,2026-04-11,第六部 全球秩序、地缘与能源,全球秩序 / 能源安全 / 地缘政治风险 / 原油供应链 / 宏观对冲 / 地缘政治,passed,917,944,1.029,0.155,944,1.029,0.155,exports/fupeng_reviewed_book/articles/009-中国能源缓冲垫有效但时效有限.md,https://www.douyin.com/video/7627438696500940078
10,7773b11a-dad4-4977-9502-d1398dead79a,霍尔木兹海峡封禁已近四十天，实质性冲击将至,2026-04-10,第六部 全球秩序、地缘与能源,全球秩序 / 能源供应链 / 地缘政治风险 / 原油市场 / 炼油产能 / 地缘政治,passed,915,820,0.896,0.045,820,0.896,0.045,exports/fupeng_reviewed_book/articles/010-霍尔木兹海峡封禁已近四十天，实质性冲击将至.md,https://www.douyin.com/video/7627090542446349583
